"id"	"sex"	"beep"	"pa1"	"pa2"	"pa3"	"na1"	"na2"	"na3"	"na4"
78	"female"	25	4	7	4	4	1	3	1
78	"female"	26	4	7	4	3	1	2	1
78	"female"	27	4	7	4	2	1	1	1
78	"female"	28	4	7	4	5	1	2	3
78	"female"	29	5	7	5	4	1	2	1
78	"female"	33	3	6	4	4	1	2	2
78	"female"	34	5	7	3	5	1	3	2
78	"female"	35	7	7	6	1	1	1	1
78	"female"	36	4	7	3	4	1	2	2
78	"female"	37	5	6	4	4	1	3	1
78	"female"	38	4	7	4	5	1	1	3
78	"female"	39	4	7	4	5	1	3	1
79	"female"	1	4	6	4	4	1	2	3
79	"female"	2	5	6	4	3	1	3	3
79	"female"	3	4	6	3	4	1	2	3
79	"female"	4	4	6	3	4	2	5	2
79	"female"	5	4	5	1	3	1	4	2
79	"female"	6	4	7	4	3	1	3	2
79	"female"	7	3	7	4	2	1	2	2
79	"female"	9	5	6	4	5	1	4	2
79	"female"	10	4	5	4	5	1	4	3
79	"female"	12	5	7	3	3	1	3	3
79	"female"	14	3	4	2	4	1	4	3
79	"female"	15	4	7	5	3	1	2	1
79	"female"	16	4	7	3	4	1	3	1
79	"female"	17	4	6	3	3	1	2	3
79	"female"	18	4	5	3	2	1	2	1
79	"female"	19	4	5	2	3	1	5	3
79	"female"	20	2	5	3	3	1	3	2
79	"female"	23	6	7	4	1	1	4	2
79	"female"	24	6	7	5	4	1	3	2
79	"female"	25	4	7	4	2	1	1	1
79	"female"	26	2	4	2	3	1	4	3
79	"female"	27	3	5	2	4	1	4	1
79	"female"	28	2	3	2	4	2	4	4
79	"female"	30	3	6	4	3	1	4	2
79	"female"	32	5	6	2	4	1	4	3
79	"female"	33	4	7	3	2	1	3	2
79	"female"	34	6	7	3	3	1	3	2
79	"female"	35	4	6	3	3	1	3	2
79	"female"	36	3	5	2	3	1	3	2
79	"female"	37	4	7	3	2	1	1	1
79	"female"	38	5	7	4	3	1	2	2
79	"female"	39	3	6	2	3	1	3	2
80	"female"	1	3	6	3	6	2	2	1
80	"female"	2	3	6	3	5	1	2	2
80	"female"	3	3	4	3	5	3	4	1
80	"female"	4	2	6	4	5	2	1	1
80	"female"	5	5	7	5	3	2	1	1
80	"female"	6	4	7	5	3	2	1	2
80	"female"	7	3	5	2	3	2	1	2
80	"female"	8	2	5	3	4	1	1	2
80	"female"	9	4	7	5	3	1	1	2
80	"female"	10	4	7	4	4	3	1	2
80	"female"	12	2	5	3	5	2	1	1
80	"female"	13	2	5	2	3	1	2	2
80	"female"	14	5	7	4	3	1	1	1
80	"female"	16	3	5	3	5	2	4	4
80	"female"	17	5	6	4	3	1	1	1
80	"female"	18	3	5	2	5	4	3	2
80	"female"	19	1	3	1	6	3	1	1
80	"female"	20	3	5	3	5	1	2	1
80	"female"	22	3	7	4	4	2	1	1
80	"female"	23	4	6	4	4	1	2	1
80	"female"	24	3	6	4	4	1	2	1
80	"female"	25	3	6	3	5	3	2	3
80	"female"	26	4	7	4	3	1	1	1
80	"female"	27	2	5	2	5	3	2	2
80	"female"	28	2	6	3	5	5	3	2
